now_epoch: 1.0, lr: 0.10
standard loss: 2.304, Adv loss: 2.305
standard acc: 8.203%, robustness acc: 8.594%
standard loss: 2.303, Adv loss: 2.305
standard acc: 11.328%, robustness acc: 11.328%
standard loss: 2.303, Adv loss: 2.306
standard acc: 11.328%, robustness acc: 9.375%
standard loss: 2.303, Adv loss: 2.309
standard acc: 10.547%, robustness acc: 6.250%
standard loss: 2.305, Adv loss: 2.314
standard acc: 7.031%, robustness acc: 4.297%
standard loss: 2.301, Adv loss: 2.311
standard acc: 8.984%, robustness acc: 4.688%
standard loss: 2.295, Adv loss: 2.308
standard acc: 14.844%, robustness acc: 6.250%
standard loss: 2.302, Adv loss: 2.315
standard acc: 10.547%, robustness acc: 5.078%
standard loss: 2.301, Adv loss: 2.316
standard acc: 10.547%, robustness acc: 5.469%
standard loss: 2.296, Adv loss: 2.314
standard acc: 13.281%, robustness acc: 4.688%
standard loss: 2.302, Adv loss: 2.321
standard acc: 9.766%, robustness acc: 2.344%
standard loss: 2.297, Adv loss: 2.323
standard acc: 12.891%, robustness acc: 1.953%
standard loss: 2.298, Adv loss: 2.329
standard acc: 11.719%, robustness acc: 1.172%
standard loss: 2.295, Adv loss: 2.329
standard acc: 12.109%, robustness acc: 1.953%
standard loss: 2.292, Adv loss: 2.331
standard acc: 12.109%, robustness acc: 1.562%
standard loss: 2.288, Adv loss: 2.329
standard acc: 16.406%, robustness acc: 2.344%
standard loss: 2.293, Adv loss: 2.333
standard acc: 12.500%, robustness acc: 1.562%
standard loss: 2.289, Adv loss: 2.325
standard acc: 11.719%, robustness acc: 5.469%
standard loss: 2.281, Adv loss: 2.320
standard acc: 14.844%, robustness acc: 4.297%
standard loss: 2.278, Adv loss: 2.311
standard acc: 18.750%, robustness acc: 6.641%
standard loss: 2.278, Adv loss: 2.308
standard acc: 20.703%, robustness acc: 6.250%
standard loss: 2.270, Adv loss: 2.291
standard acc: 16.797%, robustness acc: 12.891%
standard loss: 2.269, Adv loss: 2.291
standard acc: 19.922%, robustness acc: 10.156%
standard loss: 2.241, Adv loss: 2.273
standard acc: 24.219%, robustness acc: 19.922%
standard loss: 2.259, Adv loss: 2.289
standard acc: 17.969%, robustness acc: 14.062%
standard loss: 2.259, Adv loss: 2.281
standard acc: 14.453%, robustness acc: 11.719%
standard loss: 2.258, Adv loss: 2.286
standard acc: 16.797%, robustness acc: 14.453%
standard loss: 2.240, Adv loss: 2.267
standard acc: 20.703%, robustness acc: 16.406%
standard loss: 2.260, Adv loss: 2.282
standard acc: 14.844%, robustness acc: 13.281%
standard loss: 2.246, Adv loss: 2.274
standard acc: 17.578%, robustness acc: 16.797%
standard loss: 2.226, Adv loss: 2.261
standard acc: 21.094%, robustness acc: 19.141%
standard loss: 2.283, Adv loss: 2.307
standard acc: 12.109%, robustness acc: 10.156%
standard loss: 2.239, Adv loss: 2.279
standard acc: 18.359%, robustness acc: 16.016%
standard loss: 2.262, Adv loss: 2.308
standard acc: 17.969%, robustness acc: 12.500%
standard loss: 2.243, Adv loss: 2.293
standard acc: 18.359%, robustness acc: 13.672%
standard loss: 2.236, Adv loss: 2.291
standard acc: 19.922%, robustness acc: 12.500%
standard loss: 2.232, Adv loss: 2.293
standard acc: 19.531%, robustness acc: 13.672%
standard loss: 2.237, Adv loss: 2.305
standard acc: 21.094%, robustness acc: 12.500%
standard loss: 2.230, Adv loss: 2.292
standard acc: 19.141%, robustness acc: 12.500%
standard loss: 2.222, Adv loss: 2.287
standard acc: 24.219%, robustness acc: 9.375%
standard loss: 2.256, Adv loss: 2.295
standard acc: 18.750%, robustness acc: 8.984%
standard loss: 2.234, Adv loss: 2.285
standard acc: 19.922%, robustness acc: 11.719%
standard loss: 2.241, Adv loss: 2.280
standard acc: 19.922%, robustness acc: 13.672%
standard loss: 2.240, Adv loss: 2.275
standard acc: 17.969%, robustness acc: 14.062%
standard loss: 2.244, Adv loss: 2.277
standard acc: 18.750%, robustness acc: 15.234%
standard loss: 2.225, Adv loss: 2.266
standard acc: 23.828%, robustness acc: 18.750%
standard loss: 2.262, Adv loss: 2.295
standard acc: 16.016%, robustness acc: 13.672%
standard loss: 2.227, Adv loss: 2.276
standard acc: 20.312%, robustness acc: 16.016%
standard loss: 2.241, Adv loss: 2.291
standard acc: 17.188%, robustness acc: 11.328%
